timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2
1.7083333,15.56310901,16.61380898,12.71662132,9.391858594,6.415084471,11.76047269,,,,
1.71875,15.08442658,16.34875235,12.39811141,9.064257671,6.09790396,11.8423116,,,,
1.729166667,14.73741013,16.02560058,12.09321539,8.750842537,5.788519541,11.91215477,,,,
1.739583333,14.4834047,15.71320156,11.79008354,8.4478368,5.489260587,11.9617366,,,,
1.75,14.28319778,15.43326845,11.49640596,8.153779029,5.200513005,12.00008053,,,,
1.760416667,13.6067628,15.0723174,11.23063041,7.897445443,4.948441266,12.15414272,,,,
1.770833333,13.15769891,14.64024612,10.91823613,7.635560579,4.704378924,12.27964244,,,,
1.78125,12.85598802,14.23336574,10.57325793,7.355985978,4.461613391,12.36608549,,,,
1.791666667,12.64014087,13.88313423,10.22450869,7.060040416,4.214618831,12.42901597,,,,
1.802083333,11.96784749,13.46451304,9.925778449,6.81082334,4.013148554,12.63415747,,,,
1.8125,11.54464689,13.001239,9.574131436,6.539837494,3.802531234,12.78911221,,,,
1.822916667,11.27405925,12.58628132,9.196312517,6.24156861,3.578740739,12.8893299,,,,
1.8333333,11.08721459,12.24412248,8.826873722,5.924729973,3.340433452,12.96046029,,,,
1.84375,10.40055302,11.84148933,8.481990846,5.616285355,3.103176435,13.21776487,,,,
1.854166667,9.975709274,11.38196151,8.105223389,5.298980035,2.858721657,13.40367049,,,,
1.864583333,9.7080382,10.96983859,7.7131197,4.967553419,2.607777081,13.51972543,,,,
1.875,9.52340736,10.6307357,7.336457921,4.629303495,2.352034326,13.59862568,,,,
1.885416667,8.812663811,10.23058202,6.970052707,4.288898118,2.090902652,13.89309828,,,,
1.895833333,8.371614111,9.762010194,6.579128358,3.950666393,1.836380965,14.10138016,,,,
1.90625,8.095626404,9.338660883,6.174639386,3.606584668,1.588496979,14.23125286,,,,
1.916666667,7.907439238,8.990078285,5.786666493,3.261422629,1.347728074,14.31922209,,,,
1.927083333,7.468772939,8.65416881,5.39668733,2.89547983,1.097030555,14.51644629,,,,
1.9375,7.183316301,8.306191943,5.032725278,2.553047938,0.873142764,14.65649138,,,,
1.947916667,6.993594082,8.000953032,4.693058244,2.236016884,0.68222962,14.74821582,,,,
1.9583333,6.858106429,7.749529125,4.387608358,1.948684407,0.527292097,14.81352864,,,,
1.96875,6.590068756,7.516327911,4.093830348,1.67399999,0.397630199,14.93699502,,,,
1.979166667,6.415071973,7.28561467,3.833799382,1.440038238,0.304754968,15.02414099,,,,
1.989583333,6.302388955,7.087402648,3.602238485,1.243781476,0.239726397,15.07959664,,,,
2,6.228018903,6.927744671,3.401778978,1.082458205,0.194463282,15.11608197,,,,
2.010416667,5.937140156,6.789607944,3.031731283,0.805948296,0.126643502,15.26104238,,,,
2.020833333,5.746493,6.610090935,2.75873996,0.617276917,0.098247278,15.36478484,,,,
2.03125,5.634053121,6.440315488,2.540627526,0.497041945,0.085637131,15.42201754,,,,
2.041666667,5.568224826,6.296601146,2.363938814,0.420645637,0.079534532,15.45524854,,,,
2.052083333,5.49807602,6.20504388,2.04185514,0.289986073,0.06913039,15.49812221,,,,
2.0625,5.448913976,6.116288645,1.829384559,0.22903271,0.067498562,15.52806337,,,,
2.072916667,5.420944963,6.041235501,1.686890642,0.200965027,0.068264065,15.54235619,,,,
2.0833333,5.405625484,5.980786205,1.592375318,0.187209357,0.070001164,15.54943109,,,,
2.09375,5.289504369,5.944271956,1.30963261,0.130286306,0.06970578,15.60843141,,,,
