timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2,,,,,,,,,,,,,,,,,,,,
1.0833333,2.592278867,0.494985385,0.134285821,0.116634695,0.143721564,17.62095332,18.77231833,18.98406698,19.00466003,17.913593,,,,,,,,,,,,,,,,,,,,
1.09375,2.390417657,0.398398322,0.124657862,0.121581627,0.151324443,17.73005171,18.82812368,18.9913696,19.00477646,17.95423707,,,,,,,,,,,,,,,,,,,,
1.104166667,2.293733225,0.364540296,0.125913459,0.127858376,0.158971718,17.76614368,18.841617,18.98822498,19.00317684,17.98912941,,,,,,,,,,,,,,,,,,,,
1.114583333,2.254313025,0.358804815,0.131117092,0.134601823,0.166528754,17.78697243,18.84261674,18.98608367,19.00189936,18.01784648,,,,,,,,,,,,,,,,,,,,
1.125,2.243012639,0.36296034,0.13747325,0.141321109,0.173826646,17.79348968,18.84216599,18.98517376,19.0011248,18.04202869,,,,,,,,,,,,,,,,,,,,
1.135416667,2.006007184,0.294853793,0.135675649,0.148450772,0.182548143,17.91412887,18.88272562,18.98857677,19.00059313,18.08445855,,,,,,,,,,,,,,,,,,,,
1.145833333,1.871668523,0.270427248,0.139412425,0.155896461,0.190867364,17.97739775,18.89072457,18.98603939,18.99939055,18.12646999,,,,,,,,,,,,,,,,,,,,
1.15625,1.803783969,0.263885314,0.144929477,0.163229575,0.19874369,18.01650648,18.89175553,18.98413232,18.99814394,18.12523597,,,,,,,,,,,,,,,,,,,,
1.166666667,1.772391256,0.263672239,0.150564906,0.170098645,0.206059555,18.03484777,18.89203919,18.98311142,18.99781904,18.10118177,,,,,,,,,,,,,,,,,,,,
1.177083333,1.796300073,0.240782353,0.153676327,0.177304282,0.213966307,18.03052924,18.90906938,18.98369604,18.99648933,18.09345553,,,,,,,,,,,,,,,,,,,,
1.1875,1.830052261,0.246163296,0.159577263,0.184196797,0.221140221,18.00486615,18.90160456,18.98130906,18.99551587,18.08899263,,,,,,,,,,,,,,,,,,,,
1.197916667,1.859913573,0.255836966,0.165980388,0.19063518,0.227634167,17.99339684,18.89842612,18.98012186,18.99433182,18.0893922,,,,,,,,,,,,,,,,,,,,
1.2083333,1.885359714,0.265214542,0.172011188,0.196475284,0.233430358,17.97532538,18.89195119,18.97754083,18.99448199,18.09205326,,,,,,,,,,,,,,,,,,,,
1.21875,1.809175317,0.250795657,0.176072553,0.202273157,0.23922045,18.01310388,18.90474811,18.97834786,18.99338005,18.09344554,,,,,,,,,,,,,,,,,,,,
1.229166667,1.757696362,0.248067757,0.180699284,0.207531944,0.244254275,18.04233415,18.90493586,18.97715138,18.99274747,18.09628414,,,,,,,,,,,,,,,,,,,,
1.239583333,1.727359102,0.248405476,0.185153088,0.212238034,0.248632179,18.05904703,18.90443202,18.97598403,18.9922723,18.10327528,,,,,,,,,,,,,,,,,,,,
