timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,tank5ExhaustO2,,,,,,,,,,,,,,,,,,,
0.9583333,6.685053975,4.651594367,3.214399734,0.662539568,0.049021067,14.84807215,15.84939331,16.58072963,18.62675017,17.38963024,,,,,,,,,,,,,,,,,,,
0.96875,6.491909093,4.531156997,3.103571604,0.588709054,0.042567744,14.93550902,15.90763328,16.63382491,18.65230727,17.4337872,,,,,,,,,,,,,,,,,,,
0.979166667,6.384000361,4.416718573,3.004937347,0.53651069,0.03716689,14.99138697,15.9659631,16.68207726,18.66932915,17.47655342,,,,,,,,,,,,,,,,,,,
0.989583333,6.328856173,4.331592576,2.920700517,0.495944833,0.030507316,15.01463481,16.0099426,16.724016,18.68264126,17.51589365,,,,,,,,,,,,,,,,,,,
1,6.300928588,4.274917432,2.854410072,0.464525628,0.02321265,15.02042129,16.03975681,16.7573073,18.69328992,17.55374862,,,,,,,,,,,,,,,,,,,
1.010416667,6.036669257,4.061498924,2.688092712,0.325626666,0.01052108,15.15754399,16.14258089,16.83219565,18.75792356,17.60175425,,,,,,,,,,,,,,,,,,,
1.020833333,5.865671456,3.875533658,2.536836306,0.26541814,0.006634523,15.25622087,16.2433706,16.90663203,18.77629517,17.65046877,,,,,,,,,,,,,,,,,,,
1.03125,5.767603243,3.736051014,2.407354539,0.229162358,0.004885505,15.30840324,16.31871695,16.97132312,18.7857633,17.69761953,,,,,,,,,,,,,,,,,,,
1.041666667,5.710949021,3.638397894,2.303394835,0.203781897,0.003973294,15.33490065,16.37008311,17.02366155,18.79083555,17.74040072,,,,,,,,,,,,,,,,,,,
1.052083333,5.63950947,3.454938556,2.137890975,0.124997088,0.003186105,15.37103765,16.45969905,17.09898723,18.83506427,17.79084866,,,,,,,,,,,,,,,,,,,
1.0625,5.585836442,3.331078405,2.005246903,0.098385066,0.00285276,15.40235007,16.52636038,17.16414298,18.8312121,17.83776939,,,,,,,,,,,,,,,,,,,
