timeDays,tank1Ammonia,tank2Ammonia,tank3Ammonia,tank4Ammonia,tank5Ammonia,tank1ExhaustO2,tank2ExhaustO2,tank3ExhaustO2,tank4ExhaustO2,,,,,,,,,,,,,,,,,,,
1.197916667,4.798686476,0.468066237,0.132908493,0.155428746,0.203787441,15.89008506,18.71381687,18.94454208,18.97901747,,,,,,,,,,,,,,,,,,,
1.2083333,4.828662047,0.481548578,0.139722968,0.163198517,0.213018958,15.87243134,18.70898784,18.94272424,18.97804124,,,,,,,,,,,,,,,,,,,
1.21875,4.806503627,0.436019787,0.1416334,0.171150936,0.222641969,15.87345795,18.73701409,18.94401182,18.977391,,,,,,,,,,,,,,,,,,,
1.229166667,4.778085124,0.427215361,0.146690062,0.178876684,0.231583346,15.88147386,18.73819183,18.94179979,18.97637331,,,,,,,,,,,,,,,,,,,
1.239583333,4.755313555,0.428019784,0.152314191,0.186182505,0.23982391,15.89057083,18.73792384,18.93989912,18.97537206,,,,,,,,,,,,,,,,,,,
1.25,4.73808414,0.430563195,0.157539176,0.192881122,0.247312216,15.89660729,18.7363855,18.93847234,18.97464699,,,,,,,,,,,,,,,,,,,
1.260416667,4.846781487,0.421322924,0.161131299,0.199235227,0.254411965,15.84164678,18.74312993,18.93781445,18.97397338,,,,,,,,,,,,,,,,,,,
1.270833333,4.925979588,0.429196385,0.165615676,0.205019427,0.260744209,15.79796299,18.73745827,18.93612763,18.97328682,,,,,,,,,,,,,,,,,,,
1.28125,4.982291964,0.438759526,0.169882507,0.210185057,0.26633642,15.76616834,18.7325342,18.93473929,18.97268773,,,,,,,,,,,,,,,,,,,
1.291666667,5.022699337,0.446593331,0.173470711,0.214670912,0.271203289,15.74287417,18.72859822,18.93375365,18.97224504,,,,,,,,,,,,,,,,,,,
1.302083333,5.370329512,0.517156001,0.180535024,0.217775384,0.274520794,15.57662784,18.68716264,18.92898971,18.97135816,,,,,,,,,,,,,,,,,,,
1.3125,5.634417039,0.56636626,0.185272032,0.220087908,0.2772482,15.43982942,18.66397013,18.92747615,18.97114915,,,,,,,,,,,,,,,,,,,
1.322916667,5.824135425,0.602134302,0.188296043,0.221645155,0.279363819,15.34270458,18.64686848,18.92648158,18.97105886,,,,,,,,,,,,,,,,,,,
1.3333333,5.961263225,0.628679842,0.190152639,0.222591146,0.280932796,15.27264442,18.63327662,18.92550423,18.97088446,,,,,,,,,,,,,,,,,,,
1.34375,6.731559608,0.925573849,0.219345993,0.221631579,0.278766492,14.91062914,18.46852156,18.90488316,18.96836694,,,,,,,,,,,,,,,,,,,
1.354166667,7.296240821,1.137770016,0.241507955,0.219989917,0.276291148,14.62797131,18.36834083,18.89663211,18.96833748,,,,,,,,,,,,,,,,,,,
1.364583333,7.682607893,1.296939951,0.257144393,0.217112005,0.273183092,14.44237492,18.29060999,18.89097131,18.96880996,,,,,,,,,,,,,,,,,,,
1.375,7.947753965,1.417977677,0.268281,0.213487901,0.269588922,14.31852252,18.22907344,18.88533017,18.96858921,,,,,,,,,,,,,,,,,,,
1.385416667,9.312870246,2.340856013,0.456800802,0.226624258,0.259799368,13.72933407,17.77806608,18.7884673,18.95541277,,,,,,,,,,,,,,,,,,,
1.395833333,10.22598456,3.073557307,0.655069903,0.247887746,0.251626385,13.33390228,17.44577972,18.71586337,18.94921854,,,,,,,,,,,,,,,,,,,
1.40625,10.78949526,3.629744164,0.84292176,0.270791081,0.243450741,13.11456963,17.19812623,18.65069221,18.94420601,,,,,,,,,,,,,,,,,,,
1.416666667,11.13651517,4.039271028,1.011110467,0.293531578,0.235354246,12.99107507,17.01895411,18.59111678,18.93702038,,,,,,,,,,,,,,,,,,,
1.427083333,12.40406384,5.493234233,1.782886532,0.491262689,0.25281661,12.60393694,16.45685655,18.37626095,18.87943908,,,,,,,,,,,,,,,,,,,
1.4375,13.16718546,6.560747906,2.569642536,0.763853136,0.296784867,12.39470604,16.12851338,18.23726895,18.8376079,,,,,,,,,,,,,,,,,,,
1.447916667,13.58182727,7.291102344,3.276191581,1.08592364,0.364961099,12.29665271,15.94296257,18.15291,18.8039431,,,,,,,,,,,,,,,,,,,
1.4583333,13.807232,7.77277835,3.859367296,1.426966248,0.455620011,12.24921025,15.83594472,18.10088993,18.77652421,,,,,,,,,,,,,,,,,,,
1.46875,14.31809229,8.540935493,4.667047161,1.985945378,0.65803475,12.15637252,15.68609208,18.04805064,18.74629709,,,,,,,,,,,,,,,,,,,
1.479166667,14.63212919,9.088653206,5.350175434,2.543002326,0.904791131,12.10035634,15.6121168,18.02087479,18.73075818,,,,,,,,,,,,,,,,,,,
1.489583333,14.82197914,9.457692706,5.884695814,3.057005465,1.182195156,12.07115901,15.56057955,18.00048514,18.72049186,,,,,,,,,,,,,,,,,,,
1.5,14.95729447,9.707786289,6.280925578,3.497387298,1.468751533,12.0522401,15.52816038,17.98697596,18.71356505,,,,,,,,,,,,,,,,,,,
1.510416667,15.26378453,9.975631644,6.612003937,3.882350524,1.76127224,12.01053021,15.4947009,17.97605737,18.70846593,,,,,,,,,,,,,,,,,,,
1.520833333,15.48118399,10.22269785,6.889534663,4.197666766,2.026579322,11.97988431,15.46604887,17.96801636,18.70464272,,,,,,,,,,,,,,,,,,,
1.53125,15.64532001,10.42619964,7.122719029,4.458809499,2.260080758,11.95727706,15.44130151,17.96091769,18.70150979,,,,,,,,,,,,,,,,,,,
1.541666667,15.77971065,10.59069023,7.314525161,4.674483953,2.461516744,11.93992203,15.42348783,17.95490626,18.69903263,,,,,,,,,,,,,,,,,,,
1.552083333,15.8258131,10.57980576,7.345143116,4.751223979,2.555264741,11.93958898,15.4274049,17.95428442,18.69905146,,,,,,,,,,,,,,,,,,,
1.5625,15.86821805,10.59798916,7.355446213,4.789110582,2.615521514,11.93651557,15.4175331,17.9507822,18.69826447,,,,,,,,,,,,,,,,,,,
1.572916667,15.91024745,10.63070977,7.366946836,4.805474713,2.647707689,11.93174724,15.40773293,17.94861995,18.69763918,,,,,,,,,,,,,,,,,,,
1.5833333,15.94503709,10.66514605,7.382948115,4.813465156,2.660722429,11.92333177,15.39858999,17.94524646,18.69672058,,,,,,,,,,,,,,,,,,,
1.59375,15.55370738,10.42194996,7.234870381,4.702532984,2.57575227,11.9634737,15.41670245,17.94698221,18.6979868,,,,,,,,,,,,,,,,,,,
1.604166667,15.30030811,10.14602768,7.030676379,4.561398635,2.475864187,11.99657159,15.43245825,17.94706797,18.69849756,,,,,,,,,,,,,,,,,,,
1.614583333,15.14597362,9.91137134,6.803040148,4.387193146,2.355741443,12.02028736,15.44912458,17.94865025,18.69914182,,,,,,,,,,,,,,,,,,,
1.625,15.04151907,9.729152576,6.58414206,4.192907505,2.214839824,12.0292848,15.46586355,17.95127594,18.70002856,,,,,,,,,,,,,,,,,,,
1.635416667,14.57309196,9.335330945,6.236081383,3.889549236,1.982772017,12.10355197,15.5122012,17.95914508,18.70342215,,,,,,,,,,,,,,,,,,,
1.645833333,14.24777783,8.96194015,5.876224347,3.574827248,1.743590724,12.16720206,15.55301415,17.9655357,18.70654739,,,,,,,,,,,,,,,,,,,
1.65625,14.02507037,8.654553805,5.533050395,3.257517547,1.503050026,12.2089648,15.5945933,17.97388521,18.71012824,,,,,,,,,,,,,,,,,,,
1.666666667,13.85801915,8.412251799,5.228074447,2.953213363,1.270422671,12.24262556,15.63027856,17.98296658,18.71436745,,,,,,,,,,,,,,,,,,,
1.677083333,13.39926507,8.053833349,4.875897009,2.616753736,1.021118769,12.34439365,15.69593443,17.99575072,18.72073722,,,,,,,,,,,,,,,,,,,
1.6875,13.08109026,7.71765173,4.538507766,2.303093629,0.804663818,12.42785753,15.75829382,18.00913741,18.72775762,,,,,,,,,,,,,,,,,,,
1.697916667,12.86155844,7.441168966,4.231416535,2.016341373,0.625527473,12.48590299,15.81658161,18.02446301,18.73584315,,,,,,,,,,,,,,,,,,,
1.7083333,12.70154179,7.22488992,3.967568726,1.764425946,0.485159324,12.52556176,15.8680092,18.04008199,18.74483571,,,,,,,,,,,,,,,,,,,
